tlp,group,reporttime,observable,cc,asn,confidence,tags,description,rdata,provider,altid_tlp,altid
green,everyone,2016-08-19T00:54:50Z,www26.mnxgz.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,lennydepaul.net,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.cn-server.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www48.xioooo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.furnexegypt.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www22.lbmm88.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,wowo85.pw,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www43.3kmnw.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www41.dwttmm.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,kheybarco.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,cgi-bin.paypal.com.95j8g63f2v1b3n5f6gh32v1c3n1f56r7t89y6f3g21hv5b6nn3gh1j4f56g.pinamalayan.gov.ph,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,c.img001.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www29.hjnvren.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,secured.atouristeast.us,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,download.cdn.shareazaweb.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www46.66xx99.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,micrommachining.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.habaapac.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www7.lbmm88.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.dldaiban.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www4.71youzi.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www40.688ooo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www28.kkuumn.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www42.511kbb.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www48.177momo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.elopap.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.induwest.cl,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,jieyess.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.chaelaomalley.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www22.33lzmm.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www44.ltsetu.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www49.333lulu.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.investor-webcast.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www33.kansise.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www49.kansise.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www15.omrtw.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.dmconstructora.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www30.feieo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,downcdn.net,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.timothymaguire.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www45.71sise.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,xiazaidown.net,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www20.ggaibb.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.sweetlemonspa.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,cloud02.conquistasc.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www49.17xbxb.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www26.66xx99.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www2.rtyszz.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.sairajsolar.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.eomniform.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www17.17xbxb.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www21.bolo100.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,contact-apple.support.apple.it-secure1.store.apple.apenar.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www24.fuqi3p.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www9.17youzi.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.yserch.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www39.71momo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,dulangkouzhongxue.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.themediacircuit.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,aasthamotors.in,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,ape.dfhgbwie.ru,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www23.ddbbdy.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www5.hi7800.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www39.71sise.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,gu.downloadfilesfaster.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www27.ddtt22.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www3.hi5100.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.mdsignsbog.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www27.hi5100.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www12.mmnidy.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www18.rtyszz.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www38.mimile8.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.mangrovetreehouse.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,down.downxiazai.net,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.ictcmwellness.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,archiwum.naszkostrzyn.pl,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www7.jijimn.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
