observable;cc;tags;description
victorycuts.com;;exploit|malware;phishing
ch-edouard-toulouse.fr;;exploit|malware;phishing
bitann.com;;botnet;Domain used by virut
ns1.araby-dns.com;;suspicious;spammed domain
ns2.araby-dns.com;;suspicious;spammed domain
ns2.buskdu.com;;suspicious;spammed domain
ns1.buskdu.com;;suspicious;spammed domain
adongcomiccom.s104.72dns.net;;suspicious;spammed domain
mail.usapib.com;;phishing;abused legit phish
xa58cn.h250.72dns.net;;suspicious;spammed domain
dygccom.h122.72dns.net;;suspicious;spammed domain
99shudingcom.s301.72dns.net;;suspicious;spammed domain
gxguguocom.s112.72dns.net;;suspicious;spammed domain
yxxzztcom.s373.72dns.net;;suspicious;spammed domain
macallinecn.s373.72dns.net;;suspicious;spammed domain
s373.72dns.net;;suspicious;spammed domain
h373.72dns.net;;suspicious;spammed domain
h217.72dns.net;;suspicious;spammed domain
china012cc.h217.72dns.net;;suspicious;spammed domain
gpstctxcom.s118.72dns.net;;suspicious;spammed domain
heicha800com.s104.72dns.net;;suspicious;spammed domain
dxcrystalcom.h502.72dns.net;;suspicious;spammed domain
h502.72dns.net;;suspicious;spammed domain
mx115.72dns.net;;suspicious;spammed domain
mx125.72dns.net;;suspicious;spammed domain
cctjly.s114.72dns.net;;suspicious;spammed domain
callcity.net;;botnet;Domain used by suppobox
pointcity.net;;botnet;Domain used by suppobox
buildingclean.net;;botnet;Domain used by suppobox
fellowpaint.net;;botnet;Domain used by suppobox
fillwing.net;;botnet;Domain used by suppobox
leadgrow.net;;botnet;Domain used by suppobox
persondress.net;;botnet;Domain used by suppobox
prettywomen.net;;botnet;Domain used by suppobox
rightdress.net;;botnet;Domain used by suppobox
takehalf.net;;botnet;Domain used by suppobox
childrenclothes.net;;botnet;Domain used by suppobox
childrenhealth.net;;botnet;Domain used by suppobox
plantguide.net;;botnet;Domain used by suppobox
yourpast.net;;botnet;Domain used by suppobox
brokenwomen.net;;botnet;Domain used by suppobox
doctorpaint.net;;botnet;Domain used by suppobox
figurehealth.net;;botnet;Domain used by suppobox
machinehealth.net;;botnet;Domain used by suppobox
plantlady.net;;botnet;Domain used by suppobox
senseguide.net;;botnet;Domain used by suppobox
takewing.net;;botnet;Domain used by suppobox
mail.teg-tech.com;;phishing;abused legit phish
h112.72dns.net;;suspicious;spammed domain
s112.72dns.net;;suspicious;spammed domain
dgdaerxingcom.s112.72dns.net;;suspicious;spammed domain
119yecom.h218.72dns.net;;suspicious;spammed domain
h218.72dns.net;;suspicious;spammed domain
gkcy003com.h207.72dns.net;;suspicious;spammed domain
ns2.1lhmlm2grm8h21m8sspc11vik62.net;;botnet;Botnet C&C domain
ns3.1lhmlm2grm8h21m8sspc11vik62.net;;botnet;Botnet C&C domain
ns4.1lhmlm2grm8h21m8sspc11vik62.net;;botnet;Botnet C&C domain
ns1.1lhmlm2grm8h21m8sspc11vik62.net;;botnet;Botnet C&C domain
mx2.1lhmlm2grm8h21m8sspc11vik62.net;;botnet;Botnet C&C domain
mx1.1lhmlm2grm8h21m8sspc11vik62.net;;botnet;Botnet C&C domain
yxshengda.s118.72dns.net;;suspicious;spammed domain
advanceorder.net;;botnet;Domain used by pizd
animalnight.net;;botnet;Domain used by pizd
beautymatter.net;;botnet;Domain used by pizd
beautynight.net;;botnet;Domain used by pizd
beforenothing.net;;botnet;Domain used by pizd
cdn-url.72dns.net;;suspicious;spammed domain
mx.ritmicamente.it;;malware;malware domain
ns3.seahxdxuihoiojvg.com;;botnet;Botnet C&C domain
ns4.seahxdxuihoiojvg.com;;botnet;Botnet C&C domain
ns2.seahxdxuihoiojvg.com;;botnet;Botnet C&C domain
ns1.seahxdxuihoiojvg.com;;botnet;Botnet C&C domain
mx2.seahxdxuihoiojvg.com;;botnet;Botnet C&C domain
mx1.seahxdxuihoiojvg.com;;botnet;Botnet C&C domain
mail.microfinanceconnect.info;;phishing;abused legit phish
vweb20.nitrado.hosting;;phishing;abused legit phish
ns1.freednschange.com;;suspicious;spammed domain
ns2.freednschange.com;;suspicious;spammed domain
ns1.dnsfreeadmin.org;;suspicious;spammed domain
ns2.dnsfreeadmin.org;;suspicious;spammed domain
ns3.dnsfreeadmin.org;;suspicious;spammed domain
ns4.dnsfreeadmin.org;;suspicious;spammed domain
mail.g-dent.ru;;malware;abused legit malware
mail.paypal-kundencenter.com;;phishing;phishing domain
www.cartuchosytoner.net;;suspicious;abused legit spam
mail.dawngadon.com;;phishing;abused legit phish
mail.67511.prohoster.biz;;suspicious;spammed domain
mail.67529.prohoster.biz;;suspicious;spammed domain
mail.marinesurveyorindonesia.com;;phishing;abused legit phish
mail.67535.prohoster.biz;;suspicious;spammed domain
mail.67800.prohoster.biz;;suspicious;spammed domain
mail.67864.prohoster.biz;;suspicious;spammed domain
ns1.teslals.com;;suspicious;spammed domain
ns2.teslals.com;;suspicious;spammed domain
grupobiomateriais.com.br;;phishing;abused legit phish
www.gtvinvestment.ml;;suspicious;spammed domain
bopm.info;;phishing;abused legit phish
ns2.heliohost.org;;phishing;abused legit phish
ns1.heliohost.org;;phishing;abused legit phish
www.spinehealthproducts.com;;phishing;abused legit phish
www.userproplugin.com;;phishing;abused legit phish
scurevpntunel02.gdn;;suspicious;spammed domain
www.home-ipaypal.com;;suspicious;spammed domain
bankofamerica.servon-line.com;;suspicious;spammed domain
lc.cx;;phishing;abused legit phish
instant-present-sophrologie.fr;;phishing;abused legit phish
www.payrprol.com;;suspicious;spammed domain
hitmanjazz.com;;phishing;abused legit phish
www.home-inspectors-in-houston.com;;phishing;abused legit phish
h206.72dns.net;;suspicious|rdata;
s104.72dns.net;;suspicious|rdata;
ncbwsacramento.org;;phishing;abused legit phish
h931.72dns.net;;suspicious;spammed domain
amazon.de.mail-click02.com;;phishing;phishing domain
farmacyan.co;;suspicious;spammed domain
nometana.com;;malware;malware domain
mcts-qatar.com;;malware;abused legit malware
amazon.de.mail-klick01.com;;phishing;phishing domain
h250.72dns.net;;suspicious|rdata;
depomedikal.com;;malware;abused legit malware
h122.72dns.net;;suspicious;spammed domain
s301.72dns.net;;suspicious|rdata;
wifipro.biz;;phishing;abused legit phish
fusionfootwearbd.com;;phishing;abused legit phish
s114.72dns.net;;suspicious|rdata;
mail.isablampungport.com;;phishing;abused legit phish
s118.72dns.net;;suspicious|rdata;
mail.thedragon.biz;;phishing;abused legit phish
mail.bopm.info;;phishing;abused legit phish
jaiganeshtrading.com;;phishing;abused legit phish
vweb13.nitrado.hosting;;phishing;abused legit phish
atlantacma.org;;phishing;abused legit phish
spinehealthproducts.com;;phishing;abused legit phish
mail.toledolawnsprinklers.com;;phishing;abused legit phish
mail.hitmanjazz.com;;phishing;abused legit phish
h104.72dns.net;;suspicious|rdata;
affordableonlinemarket.com;;phishing;abused legit phish
mail.ncbwsacramento.org;;phishing;abused legit phish
accompagnergresp.org;;phishing;abused legit phish
home-inspectors-in-houston.com;;phishing;abused legit phish
email-invoice.info;;suspicious;spammed domain
yamanashi-jyujin.jp;;malware;abused legit malware
mail.yamanashi-jyujin.jp;;malware;abused legit malware
h118.72dns.net;;suspicious|rdata;
mail.mcts-qatar.com;;malware;abused legit malware
aabyhwslchamujplx.in;;botnet;Botnet C&C domain
h330.72dns.net;;suspicious|rdata;
h114.72dns.net;;suspicious|rdata;
h301.72dns.net;;suspicious|rdata;
h108.72dns.net;;suspicious|rdata;
h509.72dns.net;;suspicious|rdata;
mz7oyb3v32vshcvk.torlongor.li;;suspicious;
stgg5jv6mqiibmax.torbrouke.li;;suspicious;
arta.romail3arnest.info;;suspicious;
stgg5jv6mqiibmax.torshop.li;;suspicious;
www.egypt-dream.net;;suspicious;
systemscfg.olympe.in;;suspicious;
xfyubqmldwvuyar.yt;;suspicious;
mz7oyb3v32vshcvk.tormidle.at;;suspicious;
galaxystarshop.com;;suspicious;
52uo5k3t73ypjije.to6maq.top;;suspicious;
52uo5k3t73ypjije.3di24a.top;;suspicious;
havaianasartesanais.art.br;;suspicious;
jump1ng.net;;suspicious;
27lelchgcvs2wpm7.3lhjyx.top;;suspicious;
rbwubtpsyokqn.info;;suspicious;
27lelchgcvs2wpm7.laverhants.link;;suspicious;
cerberhhyed5frqa.cneo59.top;;suspicious;
cerberhhyed5frqa.wewiso.win;;suspicious;
bbwscimanuk.pdsda.net;;suspicious;
2bdfb.spinakrosa.at;;suspicious;
52uo5k3t73ypjije.mtxtul.top;;suspicious;
mz7oyb3v32vshcvk.toysworlds.at;;suspicious;
www.creativequilts.net;;suspicious;
cerberhhyed5frqa.as13fd.win;;suspicious;
fnjyygovdjyemga.xyz;;suspicious;
evobank.co;;suspicious;
freelancergyn.com.br;;suspicious;
de2nuvwegoo32oqv.torspaces.li;;suspicious;
4kqd3hmqgptupi3p.nameuser.site;;suspicious;
www.foxload.in.net;;suspicious;
shv4.no-ip.biz;;suspicious;
cerberhhyed5frqa.m5fgoi.win;;suspicious;
27lelchgcvs2wpm7.vrid8l.top;;suspicious;
burrinsurance.com;;suspicious;
27lelchgcvs2wpm7.marksgain.kim;;suspicious;
