observable;cc;tags;description
103.8.79.229;ID;tor;Tor Exit Node
193.165.189.6;CZ;tor;Tor Exit Node
139.59.92.42;SG;tor;Tor Exit Node
5.3.233.215;RU;tor;Tor Exit Node
37.187.239.8;FR;tor;Tor Exit Node
46.98.209.203;UA;tor;Tor Exit Node
220.129.49.13;TW;tor;Tor Exit Node
82.249.217.233;FR;tor;Tor Exit Node
95.143.22.7;RU;tor;Tor Exit Node
77.68.42.132;GB;tor;Tor Exit Node
69.164.207.234;US;tor;Tor Exit Node
37.205.10.140;CZ;tor;Tor Exit Node
213.95.149.22;DE;tor;Tor Exit Node
46.249.37.143;NL;tor;Tor Exit Node
91.92.109.116;BG;tor;Tor Exit Node
31.171.155.131;AL;tor;Tor Exit Node
204.16.247.237;US;tor;Tor Exit Node
64.137.234.53;CA;tor;Tor Exit Node
178.238.237.44;DE;tor;Tor Exit Node
64.137.225.144;CA;tor;Tor Exit Node
51.15.153.164;FR;tor;Tor Exit Node
46.246.49.194;SE;tor;Tor Exit Node
94.244.144.240;UA;tor;Tor Exit Node
14.58.118.69;KR;tor;Tor Exit Node
80.68.92.225;GB;tor;Tor Exit Node
66.175.211.27;US;tor;Tor Exit Node
46.20.35.114;DE;tor;Tor Exit Node
46.98.208.142;UA;tor;Tor Exit Node
64.137.251.218;CA;tor;Tor Exit Node
41.78.128.113;ZA;tor;Tor Exit Node
58.138.14.151;JP;tor;Tor Exit Node
91.121.192.154;FR;tor;Tor Exit Node
185.82.216.233;BG;tor;Tor Exit Node
205.185.113.14;US;tor;Tor Exit Node
82.221.128.217;IS;tor;Tor Exit Node
109.120.140.127;RU;tor;Tor Exit Node
139.59.62.94;SG;tor;Tor Exit Node
185.165.169.71;IS;tor;Tor Exit Node
126.94.105.159;JP;tor;Tor Exit Node
92.222.22.113;FR;tor;Tor Exit Node
64.137.225.11;CA;tor;Tor Exit Node
64.137.225.138;CA;tor;Tor Exit Node
118.163.74.160;TW;tor;Tor Exit Node
198.50.191.95;CA;tor;Tor Exit Node
191.34.9.194;BR;tor;Tor Exit Node
191.19.169.82;BR;tor;Tor Exit Node
82.221.139.190;IS;tor;Tor Exit Node
188.165.59.43;FR;tor;Tor Exit Node
104.218.63.73;CA;tor;Tor Exit Node
115.70.208.19;AU;tor;Tor Exit Node
195.40.181.35;GB;tor;Tor Exit Node
115.69.51.36;AU;tor;Tor Exit Node
78.31.164.41;RO;tor;Tor Exit Node
5.39.86.206;FR;tor;Tor Exit Node
104.218.63.72;CA;tor;Tor Exit Node
176.116.104.49;SK;tor;Tor Exit Node
51.15.3.40;FR;tor;Tor Exit Node
185.220.101.5;DE;tor;Tor Exit Node
60.248.162.179;TW;tor;Tor Exit Node
89.234.157.254;FR;tor;Tor Exit Node
195.201.4.207;DE;tor;Tor Exit Node
72.14.179.10;US;tor;Tor Exit Node
89.34.237.72;RO;tor;Tor Exit Node
144.217.80.80;CA;tor;Tor Exit Node
185.29.8.136;EU;tor;Tor Exit Node
46.98.197.20;UA;tor;Tor Exit Node
93.188.162.188;LT;tor;Tor Exit Node
185.220.101.20;DE;tor;Tor Exit Node
217.170.197.89;NO;tor;Tor Exit Node
5.61.34.63;GB;tor;Tor Exit Node
162.247.72.216;US;tor;Tor Exit Node
178.18.83.215;NL;tor;Tor Exit Node
64.137.178.3;CA;tor;Tor Exit Node
185.66.200.10;SK;tor;Tor Exit Node
46.167.245.51;CZ;tor;Tor Exit Node
185.58.226.243;IT;tor;Tor Exit Node
185.15.194.233;DE;tor;Tor Exit Node
82.118.242.169;BG;tor;Tor Exit Node
89.34.237.139;RO;tor;Tor Exit Node
84.48.199.78;NO;tor;Tor Exit Node
198.50.200.135;CA;tor;Tor Exit Node
144.217.161.119;CA;tor;Tor Exit Node
46.235.227.70;GB;tor;Tor Exit Node
212.92.219.15;HR;tor;Tor Exit Node
176.10.104.243;CH;tor;Tor Exit Node
145.239.91.37;FR;tor;Tor Exit Node
162.247.72.199;US;tor;Tor Exit Node
185.14.28.150;UA;tor;Tor Exit Node
185.10.68.114;SC;tor;Tor Exit Node
46.98.196.28;UA;tor;Tor Exit Node
78.241.246.179;FR;tor;Tor Exit Node
67.1.242.188;US;tor;Tor Exit Node
185.16.173.84;CH;tor;Tor Exit Node
86.107.42.247;NL;tor;Tor Exit Node
92.243.69.105;RU;tor;Tor Exit Node
82.247.198.227;FR;tor;Tor Exit Node
95.46.114.58;CZ;tor;Tor Exit Node
185.112.146.138;IS;tor;Tor Exit Node
91.64.245.225;DE;tor;Tor Exit Node
176.121.81.51;PL;tor;Tor Exit Node
82.228.252.20;FR;tor;Tor Exit Node
87.120.254.204;BG;tor;Tor Exit Node
37.187.117.138;FR;tor;Tor Exit Node
46.183.218.199;LV;tor;Tor Exit Node
181.40.18.202;PY;tor;Tor Exit Node
185.86.148.90;LV;tor;Tor Exit Node
95.42.120.48;BG;tor;Tor Exit Node
192.42.115.101;NL;tor;Tor Exit Node
88.67.169.234;DE;tor;Tor Exit Node
167.114.34.150;CA;tor;Tor Exit Node
92.222.180.10;FR;tor;Tor Exit Node
45.56.105.93;US;tor;Tor Exit Node
