observable;cc;tags;description;;;;;;;;;;;;;
https://payement-services.ceramikaczary.pl/login/login/customer_center/customer-idpp00c696/myaccount/signin/?country.x=&locale.x=en_;;phishing;PayPal;;;;;;;;;;;;;
http://khwajagharibnawazrestaurant.co.za/images/ablegodforme/goldbook/auth/view/document/;;phishing;Other;;;;;;;;;;;;;
https://pages-dabong.000webhostapp.com/restored-dabong/marks.html?fb_s=;;phishing;Other;;;;;;;;;;;;;
https://recovery-help-centre11032018.000webhostapp.com/payment-update-0.html?count=0&amp;;;;;;;;;;;;;;;;
http://recovery-help-centre11032018.000webhostapp.com/recovery-answer.html?=10065877425?fb_source=bookmark_apps&amp;;;;;;;;;;;;;;;;
http://tmwdd.com/spoutlookpage/verify/verify/index.html;;phishing;Other;;;;;;;;;;;;;
http://dbfshgwqr.000webhostapp.com/unblock/payment-update-01.html?amp;;phishing;Other;;;;;;;;;;;;;
http://www.doc.google.share.pressurecookerindia.com/clients/?7777772e646f632e676f6f676c652e73686172652e7072657373757265636f6f6b6572696e6469612e636f6d.php;;phishing;Other;;;;;;;;;;;;;
http://pages-dabong.000webhostapp.com/restored-dabong/marks.html?count=0&amp;;;;;;;;;;;;;;;;
http://pages-dabong.000webhostapp.com/restored-dabong/visapayments.html?count=0&amp;;;;;;;;;;;;;;;;
http://events-egiftsent.000webhostapp.com/1error.html?a=&amp;;;;;;;;;;;;;;;;
http://www.tmwdd.com/spoutlookpage/verify/verify/;;phishing;Other;;;;;;;;;;;;;
http://www.tmwdd.com/spoutlookpage/verify/verify/index.html;;phishing;Other;;;;;;;;;;;;;
http://louguthry.com.au/hgnnfgi/drop/;;phishing;;;;;;;;;;;;;;
http://sites-notif-2018.000webhostapp.com/payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed;;phishing;;;;;;;;;;;;;;
http://sites-notif-2018.000webhostapp.com/recovery-answer.html?=10065877425?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed;;phishing;;;;;;;;;;;;;;
http://bankofamerica.npoexpo.org/boa-update-1/verification/bd6b7ae20d41m924mcc1/card.php;;phishing;;;;;;;;;;;;;;
http://cms.idirasoft.com/index.html/jo/ymail/ymail/updates.html;;phishing;;;;;;;;;;;;;;
http://www.tanlaonline.com/equipment/b4a93aab14d6d85caa830c3cc27292db;;phishing;;;;;;;;;;;;;;
http://stoneconceptsoz.com/pdf/pdf/purchase%20uthenticated/15491e0ec40382d296157b19c9b63e77;;phishing;;;;;;;;;;;;;;
http://ib.nab.com.verify-inet.ml/1001b3896caa4827e826df3dd6b1945c/login/;;phishing;;;;;;;;;;;;;;
http://smartsidesolutions.com/wp-admin/maint/secure/update/bank_of_america/verification/1090m3na83b57bc50515/qes.php;;phishing;;;;;;;;;;;;;;
https://arkmeditech.com/bofa/verification/ne21e42nc67anbc5bm96/qes.php;;phishing;;;;;;;;;;;;;;
http://oiska.email/et/cahqf74r/pcfinancial/validation/step3.php;;phishing;;;;;;;;;;;;;;
https://arkmeditech.com/bofa/verification/69c69m947nb9b918b674/card.php;;phishing;;;;;;;;;;;;;;
http://kor.nkhumanrights.or.kr/data/press/thum_225_160/81517c71acb2b839be9fc26cf17d9cd8/;;phishing;;;;;;;;;;;;;;
http://www.osuaeh.mx/.erm/wex/rm.htm;;phishing;;;;;;;;;;;;;;
http://2ciiz5gja8.bradul.creatory.org/wp-content/themes/blue/login.php;;phishing;;;;;;;;;;;;;;
